row_index,original_text,translated_text,label,Split
20,#VideoShowAoVivo com Fátima Bernardes tudo de bom,ERROR: 'NoneType' object has no attribute 'strip',2,train
21,EU TÔ CHORANDO  #encontro,I'M CRYING #meeting,0,train
22,Oscarina . Nome diferentao #Encontro,Oscarina. Unique name #Meeting,1,train
23,"Vey quero chegar aos 56 igual a mulher do Nando Reis  Que pelee, que linda #Encontro","I want to reach 56 like Nando Reis' wife. What a woman, how beautiful. #Encontro",2,train
24,Q MANCADA ASSUSTAR AS TIAS DA FAXINA KKKKKKKKKKKKKKKKKK PORRA #TheNoite,Wanting to scare the cleaning ladies LOLLLLLLLLLLL DAMN #TheNoite,0,train
25,"Nossa vem aqui Lutador , aqui coisa de alto valor calórico , não falta ! #MasterChefBR","Wow, come here Fighter, here there's no shortage of high-calorie stuff! #MasterChefBR",1,train
26,"#Encontro Mando nud p meu esposo, mesmo q ele divulgue eu não vejo problemas, afinal eu não mandava pra qualquer um, mandava p meu parceiro","ERROR: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",2,train
27,"Eu vou chorar tanto com: ""Aquarela"" tô morrendo desde já   #DomingoLegal","I'm going to cry so much with: ""Aquarela"" I'm dying already   #DomingoLegal",0,train
28,Mônica é mãe da @user kkkkkk todo mundo já sabe  #édecasa,Mônica is @user's mom hahaha everyone already knows #édecasa,1,train
29,Amo ouvir Dráuzio #ConversaComBial,I love listening to Dráuzio #ConversaComBial,2,train
30,Bacuri com tucupi? Bizarro! Kkkkkkkkk #MasterChefBR,Bacuri with tucupi? Bizarre! Hahahahaha #MasterChefBR,0,train
31,#MasterChefBR a abóbora em pauta novamente...kkkk,#MasterChefBR the pumpkin is on the agenda again... lol,1,train
32,AMO Vanessa da Mata #AltasHoras,I LOVE Vanessa da Mata #AltasHoras,2,train
33,"Não creio que @user saiu, meu mundo caiu💔😔 #MasterChefBR","I can't believe @user left, my world has fallen apart 💔😔 #MasterChefBR",0,train
34,#thenoite @user armadilha do the noite captura Carlos Alberto.,#thenoite @user The Noite's trap captures Carlos Alberto.,1,train
35,"banana ativa o hormônio da felicidade, por isso eu amo #Encontro","Banana activates the happiness hormone, that's why I love #Encontro.",2,train
36,"""Se ela trabalha o problema é dela, ela que contrate uma empregada"" VC TA LOUCO DE DROGA MEU QUERIDO? #Encontro","""If she works, it's her problem, she should hire a maid."" ARE YOU CRAZY ON DRUGS, MY DEAR? #Encontro",0,train
37,"""Se você quiser eu vou te dar um amor desses de cinema""🎶 manda prx crush esse trecho #altashoras","""If you want, I'll give you a love like those in the movies"" 🎶 send this line to your crush #altashoras",1,train
38,Legal esse final cm tdo mundo da praça e o danilo dançando cm o pessoal do trajavigor vestido dos personagenss da praça tocando #thenoite,"Here's the translation:

""It was cool to see the finale with everyone from the square and Danilo dancing with the Trajavigor crew dressed as the characters from the square playing #thenight""",2,train
39,Canta pra caralho cala a boca vai toma no cu bicho #ConversaComBial,"Sing like crazy, shut up, go screw yourself, dude #ConversaComBial",0,train
40,"Tem @user falando de #MisterBrau Quem atacar, eu vou atacar!  #MaisVoce","There's @user talking about #MisterBrau. Whoever attacks, I'll attack! #MaisVoce",1,train
41,Adorei o rapaz de camisa preta e jaqueta amarradas na cintura. Ele dança so quando o tchan canta. Kkkkkkkkkkkkk... #AltasHoras.,"I loved the guy with the black shirt and jacket tied around his waist. He only dances when ""O Tchan"" sings. Hahahahahahaha... #AltasHoras.",2,train
42,Obrigado #MasterChefBR por mais uma quarta feira cheia de sono 😴😴,Thank you #MasterChefBR for another Wednesday full of sleepiness 😴😴,0,train
43,"A expressão ""levou o farelo"" não é pq a pessoa se lascou? Kkkkkkkkkkkkk #VideoShowAoVivo","The expression ""levou o farelo"" means the person got screwed, doesn't it? Hahahahahahaha #VideoShowLive",1,train
44,A RAZÃO DO MEU VIVER COMEÇOOOOOU #MasterChefBR,The reason for my existence has beguuuun #MasterChefBR,2,train
45,Todas as novelas que a ingrid Guimarães faz ela está baranga #VideoShowAoVivo,"All the soap operas Ingrid Guimarães is in, she looks frumpy. #VideoShowLive",0,train
46,Eu nao assisti essa temporada de #MasterChefBR mas adorei a bee q foi eliminada essa semana usando os memes do #RuPaul,"I didn't watch this season of #MasterChefBR, but I loved the queen who was eliminated this week using #RuPaul memes.",1,train
47,"Ai gente essa música é a melhor né? #TremBala #PadreFabiodeMelo #ConversacomBial "" Sorria e abrace seus pais enquanto estão aqui..."" s2","Oh guys, this song is the best, right? #TremBala #PadreFabiodeMelo #ConversacomBial ""Smile and hug your parents while they're here..."" ❤️",2,train
48,Não acredito que time azul perdeu 💔 #MasterChefBR,I can't believe the blue team lost 💔 #MasterChefBR,0,train
49,#Encontro uma piada atrás da outra,#I find one joke after another,1,train
50,Joca lindo como sempre ❤ Mostra o Look hahahahaha  #VideoShowAoVivo,"Joca, as handsome as ever ❤ Show the look hahahahaha #VideoShowLive",2,train
51,Pq essa vaca não deixa a criança no chão? Saporra tá causando #encontro Lugar de criança é numa jaula. Mudando de canal. #odeioCrianca,"ERROR: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'high'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",0,train
52,A idade não interfere nada mas sim muitas pessoas que tem preconceito #Encontro,"Age doesn't matter at all, but many people are prejudiced. #Meeting",1,train
53,"De um lado ""É o Tchan"" e do outro ""Vanessa da Mata""... Muito bom! #altashoras #paz","On one side ""É o Tchan"" and on the other ""Vanessa da Mata""... Very good! #altashoras #peace",2,train
54,"""É a minha oportunidade de calar a boca desse povo que ta falando que eu não sei trabalhar em grupo"" Não sabe mesmo Leonardo! #MasterChefBR","""It's my chance to shut up those people who are saying I don't know how to work in a team."" You really don't, Leonardo! #MasterChefBR",0,train
55,Ana Paula chegando de fininho para comer o prato da Paola #MasterChefBR,Ana Paula sneaking in to eat Paola's dish #MasterChefBR,1,train
56,A Sandy é tão linda que dói de ver #sandy #encontro,Sandy is so beautiful it hurts to look #sandy #meeting,2,train
57,AI do #VideoShowAoVivo se nao tiver gravado os bastidores do parto eu nao vou responder por mim sério @user @user,"If the #VideoShowAoVivo hasn't recorded the behind-the-scenes of the birth, I won't be responsible for my actions, seriously @user @user",0,train
58,"Imagens raras e inéditas do último aniversário de Hebe, em 8 de março de 2012, no #MaisVocê","Rare and never-before-seen images from Hebe's last birthday, on March 8, 2012, on #MaisVocê.",1,train
59,-Posso pegar na sua perna? Namaria representando a minha vontade nesta manhã ^_^#MaisVocê,"""Can I touch your leg? Namaria representing my desire this morning ^_^#MaisVocê""",2,train
60,"#VideoShowAoVivo... Não aguento a chatice da Sophia Abrahão... Está sempre tensa, sorriso artificial, postura contraída e torta... Não dá...","#LiveVideoShow... I can't stand Sophia Abrahão's tediousness... She's always tense, with a fake smile, a stiff and awkward posture... It's unbearable...",0,train
61,#VideoShowAoVivo PODE FAZER LOOK MASCULINO TBM,#LiveVideoShow CAN ALSO DO MASCULINE LOOK,1,train
62,"Nossa Cibele arrasou, no seu casamento #VideoShowAoVivo",Our Cibele rocked at her wedding #VideoShowLive,2,train
63,"Ai que bosta, de novo matéria de frango a passarinho, pula para os convidados caramba.   #MaisVoce","Oh, what a mess, chicken wing recipe again, skip to the guests, damn it. #MaisVoce",0,train
64,#TheNoite com Carlos Alberto de Nóbrega no ar! @user,#TheNoite with Carlos Alberto de Nóbrega on air! @user,1,train
65,inclusive vou almoçar assistindo meu mozão #MasterChefBR,I'm even going to have lunch while watching my sweetheart #MasterChefBR,2,train
66,"Na moral a Fátima Bernardes ta ficando entrona,chata igual o Faustão #VideoShowAoVivo","Honestly, Fátima Bernardes is becoming nosy, annoying just like Faustão #VideoShowLive",0,train
67,Alguém sabe o que aconteceu com a Laura Müller no serginho? #altashoras,Does anyone know what happened to Laura Müller on Serginho? #altashoras,1,train
68,Cortez o melhor #VideoShowAovivo,ERROR: 'NoneType' object has no attribute 'strip',2,train
69,A geração nascida pelos 1940 mais ou menos é mto retrógrada.N tem como modificar essas cabeças.Só atrapalham na criação d netos #Encontro,The generation born around the 1940s is very backward. There's no way to change their minds. They only hinder the upbringing of grandchildren. #Meeting,0,train
70,o nariz é igual da mãe  #EDeCasa,The nose is just like the mother's. #EDeCasa,1,train
71,Essa diversidade de Ingedientes do Pará é espetacular #MasterChefBR,This diversity of ingredients from Pará is spectacular #MasterChefBR,2,train
72,Já pensou? Serginho pedir perguntas e ninguém ter nenhuma? Ninguém levantar a mão?! #altashoras,Have you thought about it? Serginho asking for questions and no one having any? No one raising their hand?! #altashoras,0,train
73,Né que Arnaldinho tá no #encontro hoje. Que tiro,Arnaldinho is on #encontro today. What a surprise!,1,train
74,Vale Tudo no #Encontro: novelão influencer ❤,Anything Goes on #Encontro: influencer drama ❤,2,train
75,"Ridículo Namaria dizer que ""tem brigadeiros melhores"" #Atardeesua #MaisVoce","It's ridiculous for Namaria to say that ""there are better brigadeiros"" #Atardeesua #MaisVoce",0,train
76,Ninguém saí da sala!!! Ana Maria está ensinando a passar roupa!!!  #MaisVoce,No one leaves the room!!! Ana Maria is teaching how to iron clothes!!! #MaisVoce,1,train
77,"@user  Filhos são uma benção na nossa vida, tenho gêmeos já estão com 21 anos... #AltasHoras #DiaDasMães","@user Children are a blessing in our lives, I have twins who are already 21 years old... #AltasHoras #MothersDay",2,train
78,Sofri muito com a saída do meu amor Victor do #MasterChefBR,I suffered a lot with my love Victor leaving #MasterChefBR.,0,train
79,Se fosse ligação nosso amor seria enganooooooo  @MaiaraeMaraisa  #MaiaraeMaraisaNoBial #ConversaComBial,"If our love were a phone call, it would be a mistaakeeeee  @MaiaraeMaraisa  #MaiaraeMaraisaNoBial #ConversaComBial",1,train
80,Ele é muito fofo #TheNoite,He is very cute #TheNoite,2,train
81,Hora de virar sardinha no metrô em homenagem à prova do #MasterChefBR de ontem,Time to pack like sardines in the subway in honor of yesterday's #MasterChefBR challenge.,0,train
82,Gente é Fatima Bernardes. Kkkkkk #VideoShowAoVivo,"People, it's Fátima Bernardes. Hahaha #VideoShowLive",1,train
83,MORTAAAAAAAAAA 😂😂😂 #TheNoite,DYING OF LAUGHTER 😂😂😂 #TheNoite,2,train
84,EU ESTOU EM PRANTOS #MasterChefBR,I AM IN TEARS #MasterChefBR,0,train
85,#MasterChefBR Léo sai da competição,#MasterChefBR Léo is out of the competition,1,train
86,Pelo amor de Deus! Deixem esse tchau do @user pra sempre no final @user ❤️ #TheNoite,For the love of God! Keep that goodbye from @user forever at the end @user ❤️ #TheNoite,2,train
87,"De boa, a gente tem que falar sério nesse momento: que porra é essa no #masterchefbr de exigir uma prova usando CALDO KNOR?","Alright, we need to talk seriously right now: what the hell is this on #masterchefbr demanding a challenge using KNORR BROTH?",0,train
88,Aquilo não é uma calcinha... é quase uma bermuda #maisvocê,That's not underwear... it's almost shorts #maisvocê,1,train
89,Melhor episódio da temporada do #MasterChefBR só fecharia com chave de ouro se a Miriam saísse. O demônio essa mulher.,The best episode of the season of #MasterChefBR would only end on a high note if Miriam were to leave. That woman is a demon.,2,train
90,"quando o cantor começa a cantar a música diferente da original, isso quer dizer que ele já deve tá de saco cheio de cantar ela #altashoras","When the singer starts singing the song differently from the original, it means they're probably fed up with singing it #altashoras",0,train
91,Carlos Alberto vai virar Youtuber #TheNoite #APracaENossa,Carlos Alberto is going to become a YouTuber #TheNoite #APracaENossa,1,train
92,Pode shippar o @user e a @user ? &lt;3 #MasterChefBR,Can we ship @user and @user? <3 #MasterChefBR,2,train
93,queria @user sentadas aqui no sofá de casa conversando cmg mas enquanto isso vamos vendo a #ConversaComBial #MaiaraeMaraisaNoBial,"I wish @user were sitting here on the couch at home talking with me, but in the meantime, let's watch #ConversaComBial #MaiaraeMaraisaNoBial",0,train
94,Ana parece aquela amiga que dá PT e se acaba na night. #MasterChefBR,Ana seems like that friend who gets wasted and goes all out at night. #MasterChefBR,1,train
95,#thenoite.@user massa hoje,#thenight.@user awesome today,2,train
96,#MASTERCHEFBR tem q sair a Miriam já deu já... chatice,#MASTERCHEFBR needs to get rid of Miriam already... so annoying,0,train
97,Sou apaixonado pela chef Paola  #MasterChefBR,I'm in love with chef Paola #MasterChefBR,1,train
98,é legal ver a sua colunista preferida na tv. A @user está no #Encontro,It's cool to see your favorite columnist on TV. @user is on #Encontro.,2,train
99,Essa músiquinha não tá ajudando :( #MasterChefBR,This little song isn't helping :( #MasterChefBR,0,train
100,Eu lavo louça e sou homem (só nao lavo banheiro rsrs)  #Encontro,I wash dishes and I'm a man (I just don't clean the bathroom lol) #Meeting,1,train
101,"Porquê, quando a gente gosta muito do entrevistado o tempo passa muito rápido? #MaisVoce",Why does time fly by when we really like the interviewee? #MaisVoce,2,train
102,pq o Victor B saiu do #MasterChefBR,Why did Victor B leave #MasterChefBR?,0,train
103,"Terça (16), séries e Talk Show da GLOBO marcaram:  #MisterBrau 20.7 #OsDiasEramAssim 15.1 #ConversaComBial 8.2 #RushMedicinaVIP 6.3","Tuesday (16), GLOBO's series and Talk Show scored: #MisterBrau 20.7 #OsDiasEramAssim 15.1 #ConversaComBial 8.2 #RushMedicinaVIP 6.3",1,train
104,"Muitos vão te dizer ""Eu Te amo"", mas Amor de mãe não se discute! #altashoras *Mary Help...💞😹🔥","Many will say ""I love you,"" but a mother's love is undeniable! #altashoras *Mary Help...💞😹🔥",2,train
105,Tô com saudades do jogo de panelas #MaisVoce,I'm missing the pot game #MaisVoce,0,train
106,"#TheNoite Vamos deixar o Brasil sem presidente , agente faz um Grupão no Whatssap e vai decidindo as coisas ;","#TheNoite Let's leave Brazil without a president, we'll make a big group on WhatsApp and start deciding things.",1,train
107,CLIPE NOVO COM TERESA E DULCE EU NÃO VOU AGUENTAR 😢😭😍😍😍🙆🙆❤❤❤ @luceromexico  #DomingoLegal,NEW CLIP WITH TERESA AND DULCE I WON'T BE ABLE TO HANDLE IT 😢😭😍😍😍🙆🙆❤❤❤ @luceromexico #DomingoLegal,2,train
108,Num vejo nada q preste #MasterChefBR,I don't see anything good #MasterChefBR,0,train
109,#DomingoLegal sao sebastiao do paraiso MG! Cidade pertinho de franca onde eu moro,#LegalSunday São Sebastião do Paraíso MG! A city close to Franca where I live.,1,train
110,"#MaisVoce @user 😍😍😍  Ana Maria Braga deita no chão ao vivo, enquanto um cara gostoso faz movimentos sensuais em cima dela 😂","ERROR: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': True, 'severity': 'medium'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}",2,train
111,"Capacidade de gostar dos piores, só Jesus ! #ConversaComBial","The ability to like the worst, only Jesus! #ConversaComBial",0,train
112,Atílio e sua salada pra próxima audição do #MasterChefBR! #PorAmorNoVIVA,Atílio and his salad for the next audition of #MasterChefBR! #ForLoveOnVIVA,1,train
113,"Patrícia Poeta magérrima, finge que come e de tdo no #EDeCasa, qual o problema da Tais Araújo que é atriz ter fingido que comia abóbora?","Patrícia Poeta, extremely thin, pretends to eat everything on #EDeCasa, so what's the problem with Taís Araújo, who is an actress, pretending to eat pumpkin?",2,train
114,Nessa prova de eliminação do #MasterChefBR  de hoje.. o unico prato que eu tentaria comer era o da yuko.. Sardinha bléhr,"In today's elimination challenge on #MasterChefBR, the only dish I would try to eat was Yuko's... Sardines, bleh.",0,train
115,Já vi tanta luta e tanta malhação hoje no #MasterChefBR que nem preciso ir amanhã na academia. será que vale?,I've seen so much fighting and grilling today on #MasterChefBR that I don't even need to go to the gym tomorrow. Does that count?,1,train
116,"""Cê esqueceu a letra?"" Kkkkk adorei essa agora #Encontro","""Did you forget the lyrics?"" Hahaha I loved this one #Encontro",2,train
117,- Quantos clipes?  - Um monte - Quantos?  - uns 7 ou 8.  . . . #altashoras,ERROR: 'NoneType' object has no attribute 'strip',0,train
118,Oq temos para esse final de sábado??? Uma dose de #altashoras,What do we have for this Saturday night??? A dose of #altashoras,1,train
119,"#VideoShowAoVivo.  É ou não é a  filha de @user  ali, com Chacrinha?  Lindas!",#LiveVideoShow. Isn't that @user's daughter there with Chacrinha? Beautiful!,2,train
120,Ninguém aguenta mais a Mirian e o Leonardo #MasterChefBR,No one can stand Mirian and Leonardo anymore #MasterChefBR,0,train
121,Gente a Ana kkkkkkkkk #MaisVoce,People to Ana hahahaha #MaisVoce,1,train
122,bela gil é toda calma né? bem good vibes adorei #altashoras,"Bela Gil is so calm, right? Very good vibes, I loved it #altashoras",2,train
123,"Enquanto isso Mirian e Nayane continuam, aff #MasterChefBR","Meanwhile, Mirian and Nayane continue, ugh #MasterChefBR",0,train
124,Já começou o #TheNoite,#TheNoite has already started.,1,train
125,@user segurando o sono só pra vê vocês #MaiaraeMaraisaNoBial #ConversaComBial,@user holding back sleep just to watch you #MaiaraeMaraisaOnBial #ConversaComBial,2,train
126,"""Eu não vou passar vergonha no meu próprio programa"" mas você sempre passa @user #TheNoite","""I won't embarrass myself on my own show,"" but you always do @user #TheNoite",0,train
127,"Gente, já pensou acontece uma briga real entre os convidados!? #MasterChefBR","Guys, can you imagine if a real fight breaks out between the guests!? #MasterChefBR",1,train
128,#ConversaComBial Que tema importante. Democracia ! Comunicação popular é o melhor caminho!!,#ConversaComBial What an important topic. Democracy! Popular communication is the best way!!,2,train
129,Eu ja sabia só não respondi porque queria deixar outras pessoas responderem  #VideoShowAoVivo,"I already knew, I just didn't reply because I wanted to let other people answer #VideoShowLive",0,train
130,Escondendo essa barriguinha de que? De nhoque né hahahah #VideoShowAoVivo,"Hiding that little belly from what? From gnocchi, right? Hahaha #VideoShowLive",1,train
131,"#MaisVocê eu n posso ver essas máquinas,q da vontade ter tds","#MaisVocê I can't see these machines, it makes me want to have them all.",2,train
132,#Encontro  para  essas cantoras sertanejas bregas de hoje em dia que dizem que não existia dupla sertaneja feminas antes viva #IrmasGalvao,Meeting for these cheesy country singers of today who claim there were no female country duos before. Long live #IrmasGalvao,0,train
133,"Já fui na padoca, fiz café da manhã pra Mainha e agora tenho q pensar no almoço. Vai ter que baixar um #Masterchefbr","I already went to the bakery, made breakfast for Mom, and now I have to think about lunch. I'm going to have to channel my inner #Masterchefbr.",1,train
134,tenho que ir dormir mas o #MasterChefBR tá maravilhoso hoje,"I have to go to sleep, but #MasterChefBR is amazing today.",2,train
135,"@user @user Isso @user pede o fôlego e volta pra casa, pois ninguém mais aguenta você! #MasterChefBR","@user @user That @user takes a breath and goes home, because no one can stand you anymore! #MasterChefBR",0,train
136,"Olha, amigo, eu sou a favor do desarmamento pela menor chance possível de levar um tiro, que tal?...#TheNoite","Look, friend, I'm in favor of disarmament for the smallest possible chance of getting shot, how about that?... #TheNoite",1,train
137,"Prova muito emocionante, Não Vou Negar Que Chorei  #MasterChefBR","Very emotional episode, I won't deny that I cried #MasterChefBR",2,train
138,"#MasterChefBR MANO, OQ ACONTECEU ALGUÉM ME ATUALIZE","#MasterChefBR MAN, WHAT HAPPENED CAN SOMEONE UPDATE ME",0,train
139,#thenoite 🎶🎼Se essa rua fosse minha...eu mandava ladrilhar...🎼🎶 Com pedrinhas de brilhante Só pro meu am♥r passar...🎶🎼 Bons tempos,#thenoite 🎶🎼If this street were mine... I would have it paved...🎼🎶 With little sparkling stones Just for my love to walk on...🎶🎼 Good times,1,train
140,"Essa temporada do #MasterChefBR tá MUITO melhor que a temporada passada, socorro.","This season of #MasterChefBR is SO much better than last season, help.",2,train
141,"Trem Bala 😩 a música é boa, mas já enjoou 😄 #ConversaComBial","Trem Bala 😩 the song is good, but I'm tired of it already 😄 #ConversaComBial",0,train
142,E o barato de ter família grande é q vc não tem problema em socializar. Vc estranha qdo fica sozinho. #Encontro,And the cool thing about having a big family is that you don't have trouble socializing. You find it strange when you're alone. #Meeting,1,train
143,"Nossa, a inteligência e a sabedoria do Padre Fábio de Melo e ainda sendo entrevistado por Bial....que #TDB #ConversaComBial","Wow, the intelligence and wisdom of Father Fábio de Melo, and he's being interviewed by Bial... how #TDB #ConversaComBial",2,train
144,"Não quero q o Douglas saia,pq acho ele bom cozinheiro e um docinho d gente.Nem q a Mirian saia,pq quero ela sendo má em grupo #MasterChefBR",I don't want Douglas to leave because I think he's a good cook and a sweetheart. Nor do I want Mirian to leave because I want her being mean in the group #MasterChefBR,0,train
145,ELVIRA E GERMANA RAINHAS #VideoShowAoVivo,ERROR: 'NoneType' object has no attribute 'strip',1,train
146,"Esse @user é mt gato, sangue de Jesus tem poder #DomingoLegal","This @user is very handsome, blood of Jesus has power #LegalSunday",2,train
147,#VideoShowAoVivo 😔 que saudade desses seriados,#LiveShowVideo 😔 I miss those series.,0,train
148,#TheNoite Matheus Ceará só fala merda slk. Kkkkkkkkkkmk,"#TheNoite Matheus Ceará just talks nonsense, damn. Kkkkkkkkkkmk",1,train
149,@user melhor prato da noite #MasterChefBR Love u,@user best dish of the night #MasterChefBR Love u,2,train
150,"Bicho o cara falou um monte de merda em rede nacional, coragem né? Tem gente que tem muita coragem mesmo #Encontro","The guy talked a bunch of crap on national TV, right? Some people really have a lot of guts #Encontro",0,train
151,A Sophia Abrão tomou o lugar do Joca Lopes no #VídeoShowAoVivo?,Did Sophia Abrão take Joca Lopes' place on #VídeoShowAoVivo?,1,train
152,"Antônia Morais, talento e beleza que vêm do DNA! #VideoShowAoVivo","Antônia Morais, talent and beauty that come from DNA! #VideoShowLive",2,train
153,O #MasterChefBR me deu fome ontem ushausha,The #MasterChefBR made me hungry yesterday hahaha,0,train
154,Vamos subir a tag  #bolsonaroEuconfio ... quem vem comigo? #MasterChefBR #OutraAmazônia #ProgramaDoPorchat #LulaEuConfio #AForcadoQuerer 😘,Let's get the hashtag #bolsonaroEuconfio trending... who's with me? #MasterChefBR #OutraAmazônia #ProgramaDoPorchat #LulaEuConfio #AForcadoQuerer 😘,1,train
155,Irmãs Galvão que amorzinho! Minha avó gostava tanto....bateu aquela saudade agora.... #Encontro,"The Galvão Sisters, how lovely! My grandmother liked them so much... feeling nostalgic now... #Meeting",2,train
156,É agr a hora da verdade bye bye Miriam #MasterChefBR,"It's now the moment of truth, bye bye Miriam #MasterChefBR",0,train
157,Vanessa Da Mata depois de muitos anos e a voz é a mesma. #AltasHoras,Vanessa Da Mata after many years and her voice is the same. #AltasHoras,1,train
158,"Cara fala sério, @user vc é demais! #ConversaComBial","Dude, seriously, @user you are awesome! #ConversaComBial",2,train
159,"Coitado do Douglas  Ele era mto criativo e cozinha mto bem, mas nem sempre sabia usar isso a seu favor no #MasterChefBR","Poor Douglas. He was very creative and cooked really well, but he didn't always know how to use that to his advantage on #MasterChefBR.",0,train
160,"@user pro @user: ""Eu vou tentar trazer o ""tômpero""""! 😂😂😂😂😂😂😂😂😂😂 #MasterChefBR","@user to @user: ""I'm going to try to bring the 'seasoning'!"" 😂😂😂😂😂😂😂😂😂😂 #MasterChefBR",1,train
161,@user lindo no #EdeCasa😉,@user beautiful at #HomeStyle😉,2,train
162,Passei mal assistindo a prova na parte que o Vítor se corto meu Deus quase desmaiei de vdd #MasterChefBR,"I felt sick watching the episode when Vítor cut himself, my God, I almost fainted for real #MasterChefBR",0,train
163,KKKKKKKKKKKKKK JA DEU AQUELA BULINADA NA JU #TheNoite,Hahahahaha already teased Ju #TheNoite,1,train
164,Se liguem no #AltasHoras que a maravilhosa @user tá lá 💙,Tune in to #AltasHoras because the wonderful @user is there 💙,2,train
