Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
Sieben künstlerische Projekträume ausgezeichnet http #Berlin,train,Seven artistic Project spaces Excellent http: #Berlin,Seven artistic project spaces awarded http #Berlin,1,Seven artistic Project spaces Excellent http: #Berlin,Seven artistic project spaces awarded http #Berlin
@user Cool! Keine weiteren Fragen. ;-),train,@user Cool! None other Questions. ;-),@user Cool! No further questions. ;-),2,@user Cool! None other Questions. ;-),@user Cool! No further questions. ;-)
@user kamu syahrenong:-(,train,@user kamu syahrenong:-(,@user kamu syahrenong:-(,0,@user kamu syahrenong:-(,@user kamu syahrenong:-(
"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",train,"Who must: Until 8 in Krefeld work, go then Direct Total Gym and must: then night to Home the Dishwasher Clear out?","Who has to work until 8 in Krefeld, then goes directly to the gym and then has to clean out the dishwasher at home at night?",1,"Who must: Until 8 in Krefeld work, go then Direct Total Gym and must: then night to Home the Dishwasher Clear out?","Who has to work until 8 in Krefeld, then goes directly to the gym and then has to clean out the dishwasher at home at night?"
"@user hab keine, bin lieb zu dir. ^_^",train,"@user have None, I am Love to You. ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^","@user don't have one, I'm kind to you. ^______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________",2,"@user have None, I am Love to You. ^","@user don't have one, I'm kind to you. ^"
NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,train,NDR. Senior choir. Absolute Absorption on my part.,NDR. Senior choir. Absolute perplexity on my part.,0,NDR. Senior choir. Absolute Absorption on my part.,NDR. Senior choir. Absolute perplexity on my part.
Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http,train,"The #Classics - No, no, no, no, no, no, no, no, no. #Knirps #T2 to the #Special price - No, no, no, no, no, no, no, no, no. The Name speech for you - No, no, no, no, no, no, no. of the #Schirm par excellence - No, no, no, no, no, no, no, no, no. http:",The #classic ! #Knirps #T2 for the #special price ! The name speaks for itself - the #Schirm par excellence ! http,1,The #Classics - No. #Knirps #T2 to the #Special price - No. The Name speech for you - No. of the #Schirm par excellence - No. http:,The #classic ! #Knirps #T2 for the #special price ! The name speaks for itself - the #Schirm par excellence ! http
When we were younger (8),train,When we were younger (8),When we were younger (8),2,When we were younger (8),When we were younger (8)
"@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",train,"@user Hi, can You please Oceans Twelve Check? After of the half ==References== incorrect :( Other Series C.E. Films running No problem. Greetings","@user Hi, can you please check Oceans Twelve? After half an hour faulty :( Other series & movies run without problems. Greetings :( Other series & films run without any problems ).(Sweetings :) * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",0,"@user Hi, can You please Oceans Twelve Check? After of the half ==References== incorrect :( Other Series C.E. Films running No problem. Greetings","@user Hi, can you please check Oceans Twelve? After half an hour faulty :( Other series & movies run without problems. Greetings :( Other series & films run without any problems ).(Sweetings :) *"
RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,train,RT @user: 1/2 Hammerstory v @user: EU Commissioner Oettinger spreads Unlovable Numbers to the Subsidy from Fossil u Nuclear power station. Uh...,"RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger presents unwelcome figures on the subsidy of Fossil u AKW. ht... , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",1,RT @user: 1/2 Hammerstory v @user: EU Commissioner Oettinger spreads Unlovable Numbers to the Subsidy from Fossil u Nuclear power station. Uh...,"RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger presents unwelcome figures on the subsidy of Fossil u AKW. ht... ,"
@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,train,@user Good Evening. please Follow to me Once. then can I you the (Parliament adopted the legislative resolution) Thank you ^l,@user good evening. please follow me. then I can explain. thank you ^l,2,@user Good Evening. please Follow to me Once. then can I you the (Parliament adopted the legislative resolution) Thank you ^l,@user good evening. please follow me. then I can explain. thank you ^l
@user Nicht gut. =(,train,@user Not applicable Good. =(,@user Not good. =(.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0,@user Not applicable Good. =(,@user Not good. =(.
@user Breizh sur seine.,train,@user Breizh sur his.,@user Breizh sur his.,1,@user Breizh sur his.,@user Breizh sur his.
@user Schlaf gut und träume was schönes. &lt;3,train,@user Sleep Good and Dreams what Beautiful. &lt;3,@user sleep well and dream something beautiful.,2,@user Sleep Good and Dreams what Beautiful. &lt;3,@user sleep well and dream something beautiful.
@user BUT NOT REALLY GUYS,train,@user BUT NOT REALLY GUYS,@user BUT NOT REALLY GUYS,0,@user BUT NOT REALLY GUYS,@user BUT NOT REALLY GUYS
"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",train,"Berlin, Damage regulator (m/w) Subject matter Damage for the Regulatory area Eastern Saxony http: Jobs Insurance","Berlin, Property Regulator (m/w) Property Damage to the regulatory area of East Saxony http Jobs Versicherung (insurance) [http://ec.europa.eu/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications/publications",1,"Berlin, Damage regulator (m/w) Subject matter Damage for the Regulatory area Eastern Saxony http: Jobs Insurance","Berlin, Property Regulator (m/w) Property Damage to the regulatory area of East Saxony http Jobs Versicherung (insurance) [http://ec.europa.eu/publications"
"RT @user: BISON #Multichannel-Studie: Wut- und Frust-Käufe zu 76% weiterhin via Offline-Handel ;) Danke @user, heute Aben…",train,"RT @user: BISON #Multichannel study: Rage and Frust purchases to 76% continue via Offline trading ;) Thank you @user, today Aben...","RT @user: BISON #Multichannel study: 76% of anger and frustration purchases continue via offline trading ;) Thank you @user, today Aben...",2,"RT @user: BISON #Multichannel study: Rage and Frust purchases to 76% continue via Offline trading ;) Thank you @user, today Aben...","RT @user: BISON #Multichannel study: 76% of anger and frustration purchases continue via offline trading ;) Thank you @user, today Aben..."
"@user Nee, klappt nicht:/",train,@user Nope. works not:/,"@user Nee, doesn't work:/ I don't know if I'm going to be able to do it.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0,@user Nope. works not:/,"@user Nee, doesn't work:/ I don't know if I'm going to be able to do it."
"Extrem flacher, berührungsloser Winkelsensor http",train,"Extreme flat, Non-contact Angle sensor http:","Extremely flat, non-contact angle sensor http: ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////",1,"Extreme flat, Non-contact Angle sensor http:","Extremely flat, non-contact angle sensor http: /"
Voll schöner Vintage-Spiegel. Oder Retro. Weiß nicht genau. Eher vintage! #latergram #shabby #vintage http,train,Full Beautiful Vintage mirror. Or Retro. White not Exactly. Rather vintage! #latergram #shabby #vintage http:,Full of beautiful vintage mirrors. Or retro. Don't know exactly. Rather vintage! #latergram #shabby #vintage http,2,Full Beautiful Vintage mirror. Or Retro. White not Exactly. Rather vintage! #latergram #shabby #vintage http:,Full of beautiful vintage mirrors. Or retro. Don't know exactly. Rather vintage! #latergram #shabby #vintage http
@user die deutsche regierung ist nicht unfaehig ...sie hat nur nix zuppa melden . Ich lach michele tot wie die sich aufblasen,train,@user the German government is not Unable to do ...they has only Nothing auppa Report . I don't know. Laughing michele Dead how the you inflate,@user the German government is not unfaithful ...she only has to report nothing toppa. I laugh michel dead as the inflate,0,@user the German government is not Unable to do ...they has only Nothing auppa Report . I don't know. Laughing michele Dead how the you inflate,@user the German government is not unfaithful ...she only has to report nothing toppa. I laugh michel dead as the inflate
"""Niemand weiß, wie weit seine Kräfte gehen, bis er sie versucht hat."" Johann Wolfgang von Goethe",train,"""Nobody white, how Far its Forces go, Until he they tried has."" Johann Wolfgang from Goethe","""No one knows how far his powers go until he has tried them."" Johann Wolfgang von Goethe",1,"""Nobody white, how Far its Forces go, Until he they tried has."" Johann Wolfgang from Goethe","""No one knows how far his powers go until he has tried them."" Johann Wolfgang von Goethe"
"@user Gourmet sozusagen...sehr schön! ... Oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^ . ^",train,@user Gourmet so to speak...very Fine! . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Oh...very Beautiful Deep... power Nothing. must: I stop Little Practice... Hmm...^ . ^,"@user Gourmet so to speak...very nice! ... Oh...very nice deep...na doesn't matter, I just have to practice a bit... hmm...^ . ^",2,@user Gourmet so to speak...very Fine! . Oh...very Beautiful Deep... power Nothing. must: I stop Little Practice... Hmm...^ . ^,"@user Gourmet so to speak...very nice! ... Oh...very nice deep...na doesn't matter, I just have to practice a bit... hmm...^ . ^"
"@user Ey! Nichts gegen den Ruhrpott. &gt;:( (Aber ja, teilweise kommen die echt hier wech.)",train,"@user Hey! Nothing against the Ruhrpott. &gt;:( (But Yes, Partially come the Real here (See below)","@user Ey! Nothing against the Ruhrpott. &gt;:((But yes, some of them come here.)",0,"@user Hey! Nothing against the Ruhrpott. &gt;:( (But Yes, Partially come the Real here (See below)","@user Ey! Nothing against the Ruhrpott. &gt;:((But yes, some of them come here.)"
Gratis Beauty-Box ab 15€ Einkauf http,train,Free Beauty box from €15 Purchasing http:,Free beauty box from 15€ Purchase http,1,Free Beauty box from €15 Purchasing http:,Free beauty box from 15€ Purchase http
"#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Fast, #Speed. @ Dornier Museum… http",train,"#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Almost, #Speed. @ Dornier Museum... http:","#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Fast, #Speed. @ Dornier Museum... http:",2,"#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Almost, #Speed. @ Dornier Museum... http:","#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Fast, #Speed. @ Dornier Museum... http:"
Hätte vielleicht doch was langes anziehen sollen..,train,If there were Maybe but what long Put on European,Maybe you should have put on something long after all.,0,If there were Maybe but what long Put on European,Maybe you should have put on something long after all.
@user nichts.,train,@user Nothing.,@user nothing.,1,@user Nothing.,@user nothing.
"@user geil, abends Äpfel essen, morgens besoffen \o/",train,"@user horny, Evening Apples eat, morning Drunk \o/","@user horny, eating apples in the evening, drunk in the morning \o/",2,"@user horny, Evening Apples eat, morning Drunk \o/","@user horny, eating apples in the evening, drunk in the morning \o/"
RT @user: Täglich fließen 300 Tonnen verseuchtes Wasser vor #Fukushima ins Meer und die Regioerung pocht auf die Sicherheit von Atomkr…,train,RT @user: Daily flow 300 tonnes Infested Water before #Fukushima Total Sea and the Retirement Poach on the Security from Atomkr...,RT @user: Every day 300 tons of contaminated water flow into the sea before #Fukushima and the regioration pokes on the safety of nuclear power...,0,RT @user: Daily flow 300 tonnes Infested Water before #Fukushima Total Sea and the Retirement Poach on the Security from Atomkr...,RT @user: Every day 300 tons of contaminated water flow into the sea before #Fukushima and the regioration pokes on the safety of nuclear power...
Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! http,train,Not applicable forget: The Sniffing #Musical Pleasure today In the King Albert Theatre! http:,Don't forget: The biting #Musical Pleasure Today at King Albert Theatre! http: / / /www. /www. /www. /www. /www. /www. ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,1,Not applicable forget: The Sniffing #Musical Pleasure today In the King Albert Theatre! http:,Don't forget: The biting #Musical Pleasure Today at King Albert Theatre! http: / / /www. /
Huzur kumsalda :) (@ Beach Bar) http,train,Huzur kumsalda :) (@ Beach Bar) http:,Huzur kumsalda :) (@ Beach Bar) http: /////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,2,Huzur kumsalda :) (@ Beach Bar) http:,Huzur kumsalda :) (@ Beach Bar) http: /
Routentracing zu dem Server zeigt jedenfalls nichts gutes an. Habe nirgendwo sonst Probleme. Spiele aber auch kaum was anderes online.,train,"Route tracing to The Server shows in any case: nothing good ==References== Done at Brussels, Nowhere other Problems. Games but also Hardly what Other online.",Route tracing to the server shows nothing good anyway. Have nowhere else problems. But also play hardly anything else online.,0,"Route tracing to The Server shows in any case: nothing good ==References== Done at Brussels, Nowhere other Problems. Games but also Hardly what Other online.",Route tracing to the server shows nothing good anyway. Have nowhere else problems. But also play hardly anything else online.
RT @user: #Atmosphäre #Meer #Kalk #Kiel #Miesmuscheln Miesmuscheln wachsen auch im sauren Meer http,train,RT @user: #Atmosphere #Sea #Kalk #Kiel #Mies' clams Mushrooms growing also In the acidic Sea http:,RT @user: #Atmosphere #sea #lime #kiel #mice mussels mussels also grow in the acidic sea http: http: / / /www. /www. /www. ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,1,RT @user: #Atmosphere #Sea #Kalk #Kiel #Mies' clams Mushrooms growing also In the acidic Sea http:,RT @user: #Atmosphere #sea #lime #kiel #mice mussels mussels also grow in the acidic sea http: http: / / /www. /www. /www. /
Gott sei Dank. Das 1:1. #Eintracht #SGE,train,God is Thanks. The 1:1. #Eintracht #SIGNS,Thank God. The 1:1. #Eintracht #SGE,2,God is Thanks. The 1:1. #Eintracht #SIGNS,Thank God. The 1:1. #Eintracht #SGE
@user light mann light Nahrung #Opfer,train,@user light man light Food # Victims,@user light man light food #victim,0,@user light man light Food # Victims,@user light man light food #victim
kein wunder (@user http,train,none Miracle ( http:,No wonder (@user http: ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,1,none Miracle ( http:,No wonder (@user http: /
@user nope stimmt nicht (/.\) *wegschmelz*,train,@user Nope True not (/.\) ♪ Melting away ♪,@user nope is wrong (/.\) *smelting off* *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off,2,@user Nope True not (/.\) ♪ Melting away ♪,@user nope is wrong (/.\) *smelting off* *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off *smooth off
