Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
RT @user: الاسلام دين الرحمة وإكرام النفس ولم يأمر بهذه الأفعال التي لايفعلها إلا مجنون#شرك_الرافضه_في_عاشورا  http,train,RT @user: Islam Dean. Mercy. And Kareem. Self. And I didn't... Order! With this. Acts Which... Don't do it. Unless... Crazy... rejected partner in Ashura. http,"== sync, corrected by elderman == @elder_man",1,RT @user: Islam Dean. Mercy. And Kareem. Self. And I didn't... Order! With this. Acts Which... Don't do it. Unless... Crazy... rejected partner in Ashura. http,"== sync, corrected by elderman == @elder_man"
@user اسمع اغنية halo ل بيونسيه واغنية pillow talk ل زين مالك فخمين وكمان flashlight ل جيسي,train,@user Listen. A song. halo L Beyoncé. And a singer. pillow talk L Zane. Malik. Fancy. And violin. Flashlight L Jesse.,@user hear the song halo for Beyoncé and the song pillow talk for Zane Malik Fahmin and Flashlight for Jesse,2,@user Listen. A song. halo L Beyoncé. And a singer. pillow talk L Zane. Malik. Fancy. And violin. Flashlight L Jesse.,@user hear the song halo for Beyoncé and the song pillow talk for Zane Malik Fahmin and Flashlight for Jesse
"RT @user: ""اذا فزت فسأرمي بمنافستي في السجن "" ليس السيسي او بشار الأسد بل المرشح لرئاسة الولايات المتحدة الأميركية دونالد ترامب.",train,"RT @user: ""So... I won. I'm gonna throw. With my competition. Fi. Prison "" Not... Cece. Or... Bachhar. The lion. Yeah. Candidate For the presidency. Mandates UNITED NATIONS American. Donald. Trump.","RT @user: ""If I win, I'll throw my competition in jail,"" not Cisi or Bashar al-Assad, but the candidate for the United States presidency, Donald Trump.",0,"RT @user: ""So... I won. I'm gonna throw. With my competition. Fi. Prison "" Not... Cece. Or... Bachhar. The lion. Yeah. Candidate For the presidency. Mandates UNITED NATIONS American. Donald. Trump.","RT @user: ""If I win, I'll throw my competition in jail,"" not Cisi or Bashar al-Assad, but the candidate for the United States presidency, Donald Trump."
كمال خلف#سورية: #امريكا (تشويح) لا احتكاك عسكري.. والعودة إلى الطاولة قريبا#بوابة_الشرق_الأوسط_الجديدة… http,train,Kemal. Behind Syria: # America (Sobbing) No. It's a friction. Military... And back. To Table Soon the new Middle East Gate... http,"== sync, corrected by elderman == @elder_man",1,Kemal. Behind Syria: # America (Sobbing) No. It's a friction. Military... And back. To Table Soon the new Middle East Gate... http,"== sync, corrected by elderman == @elder_man"
RT @user: الزمالك هيلعب يوم ١٥-١٠ ودى هتبقي الذكرى الاولي لوقفه رمضان التانيه ع الكورة 😂 http,train,RT @user: It's yours. He's playing. Day 15.10 Woody. You stay. Memory First. To stop him. Ramadan The second one. GS The ball. ¶ http,RT @user: Zalmalek is playing 15-10 and Dy will keep the first anniversary of Ramadan's second stop at Al-Kurrah . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,2,RT @user: It's yours. He's playing. Day 15.10 Woody. You stay. Memory First. To stop him. Ramadan The second one. GS The ball. ¶ http,RT @user: Zalmalek is playing 15-10 and Dy will keep the first anniversary of Ramadan's second stop at Al-Kurrah .
@user @user @user @user @user هههه الطائي قلب علينا وصار كومدياااني...يقطع شرك روح وتحمم وادخل الاسلام من جديد,train,@user @user @user @user @user Huh. The pilot. Heart. We have to. And he became... Comedy... cut. Shrek. Spirit. And shower. And come in. Islam Who? New,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user #user @user #user @user #user #uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-uh-u,0,@user @user @user @user @user Huh. The pilot. Heart. We have to. And he became... Comedy... cut. Shrek. Spirit. And shower. And come in. Islam Who? New,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user #user @user #user @user #user #uh-u
المشد الرياضي سويت سوت النسائيعرض مؤقت في امازونhttp #مشدات #تمارين #حرق #دهون http,train,The corset. Sportsman. Sweet. Sut. Women &apos; s show Temporary Fi. Amazon # Cramps # Rehearsals # Burn ♪ Fat ♪ http,"Sweetshot Women's Stadium is a temporary show in Amazon... ♪ Stretchs ♪ ♪ Burns ♪ ♪ Burns ♪ ♪ Fats ♪ ♪ Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh ♪ Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh oh, ooh, ooh, ooh, ooh oh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh oh, ooh, ooh, ooh, ooh, ooh, ooh oh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh................",1,The corset. Sportsman. Sweet. Sut. Women &apos; s show Temporary Fi. Amazon # Cramps # Rehearsals # Burn ♪ Fat ♪ http,"Sweetshot Women's Stadium is a temporary show in Amazon... ♪ Stretchs ♪ ♪ Burns ♪ ♪ Burns ♪ ♪ Fats ♪ ♪ Ooh ♪ Ooh oh, ooh."
RT @user: بلومبيرج الأمريكية: السعودية تملك احتياطات نفطية تكفيها 70 عاماً Via @user http,train,RT @user: Bloomberg. American: Saudi Arabia You do. Reserves Oil That's enough. 70. A year. Via @user http,"== sync, corrected by elderman == @elder_man",2,RT @user: Bloomberg. American: Saudi Arabia You do. Reserves Oil That's enough. 70. A year. Via @user http,"== sync, corrected by elderman == @elder_man"
RT @user: ويقولون الوهابيه شوهوا الاسلام، انتم الكافر لاشاف فعايلكم حمد ربه بأنه كافر. http,train,"RT @user: And they say, The Wahhabi. Shoo! Islam, Hey! The infidel. No scout. And yours. Hamad. God. That... Infidel. http","RT @user: And the Wahhabi said, ""I'm disliked by Islam, you are the infidels of the Shafe, and you are thankful to his Lord that he is infidel."" http://t.org/t/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s/s.",0,"RT @user: And they say, The Wahhabi. Shoo! Islam, Hey! The infidel. No scout. And yours. Hamad. God. That... Infidel. http","RT @user: And the Wahhabi said, ""I'm disliked by Islam, you are the infidels of the Shafe, and you are thankful to his Lord that he is infidel."" http://t.org/t/s."
RT @user: فيديو - جانب من تدريبات ريال مدريد اليوم . http,train,RT @user: Video. - What? Side Who? Rehearsals. Real Madrid Today. . http,RT @user: Video - Part of the Real Madrid exercise today.,1,RT @user: Video. - What? Side Who? Rehearsals. Real Madrid Today. . http,RT @user: Video - Part of the Real Madrid exercise today.
RT @user: الاتحاد الكبير لعب في البرنابيو أمام ريال مدريد بدون واسطة ولاراعي..الحدث قبل 6 او7 سنوات..لاحظوا بدون راعي واحد للطرفين..…,train,RT @user: Federation The big one. Play. Fi. The barnabello. In front of... Real Madrid None I mean... And to take care of the event... Before. Six. Or 7. Years... notice. None A shepherd. One. Both sides...,"== sync, corrected by elderman == @elder_man",2,RT @user: Federation The big one. Play. Fi. The barnabello. In front of... Real Madrid None I mean... And to take care of the event... Before. Six. Or 7. Years... notice. None A shepherd. One. Both sides...,"== sync, corrected by elderman == @elder_man"
RT @user: اردوغان وروسيا تطبيع  اتفاقيات وسمن على عسل ،، والاخوان اذ فجأءة،، وضوعوا كل انواع الاحذيه ف بؤهم ،، ولا جابوا سيرة سوريا ولا…,train,"RT @user: Erdogan. And Russia. Normalization Conventions Fat. On... Honey. ! And the brothers. So... Suddenly, Put them in. Eat. Types Shoes. F Their pulse. ! And no. Gabba! A biography. Syria And no...","RT @user: Erdogan and Russia normalized agreements and fat on honey, brothers suddenly, put all kinds of shoes in their mouth, didn't answer Syria's biography and didn't...",0,"RT @user: Erdogan. And Russia. Normalization Conventions Fat. On... Honey. ! And the brothers. So... Suddenly, Put them in. Eat. Types Shoes. F Their pulse. ! And no. Gabba! A biography. Syria And no...","RT @user: Erdogan and Russia normalized agreements and fat on honey, brothers suddenly, put all kinds of shoes in their mouth, didn't answer Syria's biography and didn't..."
RT @user: سبحان اللهصيام رمضان غصب تصومونه لكن بصيام  عاشوراء يزيد ايمانكم الله يتقبل,train,RT @user: Hallelujah. Lassim. Ramadan Grow up. You're shooting him. But... With a fast. Aswara. It's getting bigger. Your Faith God. Accepts.,"RT @user: Hallowed bellow is Ramadan's wrath, but with Ashura's fasting, God will increase your faith.",1,RT @user: Hallelujah. Lassim. Ramadan Grow up. You're shooting him. But... With a fast. Aswara. It's getting bigger. Your Faith God. Accepts.,"RT @user: Hallowed bellow is Ramadan's wrath, but with Ashura's fasting, God will increase your faith."
RT @user: نولي ونادال استراليا 2012 نولي ونادال نهائي مدريد2011 نولي وموراي نصف نهائي روما2011نولي فيدرر امريكا2011 #افضل_مباراة_تن…,train,"RT @user: Nole. And Nadal. Australia 2012 Nole. And Nadal. Final Madrid 2011 Nole. And Moray. Half. Final Rome2011 Nolly. Federer. America, 2011. ♪ Best game ♪ ♪ Ten... ♪","== sync, corrected by elderman == @elder_man",2,"RT @user: Nole. And Nadal. Australia 2012 Nole. And Nadal. Final Madrid 2011 Nole. And Moray. Half. Final Rome2011 Nolly. Federer. America, 2011. ♪ Best game ♪ ♪ Ten... ♪","== sync, corrected by elderman == @elder_man"
#اردوغان وعصابتة توعدوا وهددوا بأن عدم تسليم #غولن سيلقي امريكا ثبورا ...!!! كدااااب ياخيشة هلفوت😂😂😂,train,"Erdogan. And his gang. Promise. And they were threatened. That... No. Delivery. ♪ Goolin ♪ He's gonna throw. America. Thabura. ! Like a dad. Oh, my God. Hello? Hello?","♪ Erdogan and his gang promised and threatened not to deliver ♪ ♪ Gollen's gonna throw America out of the blue ♪ ♪ Like a yacht yacht ♪ Helfoot ♪ ♪ Helfoot ♪ ♪ Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey,",0,"Erdogan. And his gang. Promise. And they were threatened. That... No. Delivery. ♪ Goolin ♪ He's gonna throw. America. Thabura. ! Like a dad. Oh, my God. Hello? Hello?","♪ Erdogan and his gang promised and threatened not to deliver ♪ ♪ Gollen's gonna throw America out of the blue ♪ ♪ Like a yacht yacht ♪ Helfoot ♪ ♪ Helfoot ♪ ♪ Hey!, hey!, hey,"
RT @user: زعلانيين على التصويت المصري ضد الارهاب .. يعنى تبونهم يحاربون الارهاب في سيناء ويأيدونه في سوريا .. !!هذا منطق الاع…,train,RT @user: Lissa. On... Voting Egyptian Against... Terrorism I... Meaning... You're kidding them. They fight. Terrorism Fi. Sinai And they're in favour of him. Fi. Syria I... This! Logic. Abs...,RT @user: The Egyptian vote against terrorism means their pity is fighting terrorism in Sinai and supporting it in Syria!,1,RT @user: Lissa. On... Voting Egyptian Against... Terrorism I... Meaning... You're kidding them. They fight. Terrorism Fi. Sinai And they're in favour of him. Fi. Syria I... This! Logic. Abs...,RT @user: The Egyptian vote against terrorism means their pity is fighting terrorism in Sinai and supporting it in Syria!
RT @user: أسطوره يشجع أسطوره 👏🏻مايكل جوردان يبتسم ويصفق ل روجر 😩❤️كانت ايام حلوه 😔💔.#روجر_فيدرر . http,train,RT @user: Legend. Cheer up. Legend. ¶ Michael Jordan. Smile. And applause. L Roger. It was... Days. Sweet. Roger-Feder. . http,RT @user: His myth encourages his legend . . . . . . . . ..Michael Jordan smiles and applauds Roger . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,2,RT @user: Legend. Cheer up. Legend. ¶ Michael Jordan. Smile. And applause. L Roger. It was... Days. Sweet. Roger-Feder. . http,RT @user: His myth encourages his legend . . . . . . . . ..Michael Jordan smiles and applauds Roger .
"RT @user: عفوا؟ ""اوباما سحب هيلاري كلنتون معاه""؟! هههههه هيلاري لم تذهب لجنازة بيريز. عن جد كاذب و مضلل http",train,"RT @user: Excuse me? ""Obama. Pull. Hilary. Clinton. With him? Huh. Hilary. I didn't... Go. For a funeral. Perez. About... Grandpa. Liar. And... Delusional. http","RT @user: Excuse me? ""Obama pulled Hillary Clinton with him""?! huh, Hilary didn't go to Perez's funeral.",0,"RT @user: Excuse me? ""Obama. Pull. Hilary. Clinton. With him? Huh. Hilary. I didn't... Go. For a funeral. Perez. About... Grandpa. Liar. And... Delusional. http","RT @user: Excuse me? ""Obama pulled Hillary Clinton with him""?! huh, Hilary didn't go to Perez's funeral."
RT @user: #شي_ما_يتكرر-❗️❕تسديد القروض ❕❗️-🌟 نسدادالقرض القديم 🌟واستخراج قرض جديد-0556346105-http,train,RT @user: # Chi_what_recurring-... Loans * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * The loan payment. Old. And extraction Loan New 0556346105-http,RT @user: #She_what_recurring-... . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1,RT @user: # Chi_what_recurring-... Loans * The loan payment. Old. And extraction Loan New 0556346105-http,RT @user: #She_what_recurring-.
RT @user: وصلت لعبة  Faily Rider لمتجر #جوجل_بلاي بعد أن تم طرحها لمستخدمي نظام #آي_أو_إس في شهر سبتمبر الماضي#نصائح_تقنيةhttp,train,RT @user: I'm here. Game. Faili Rider To a store. ♪ Google ♪ ♪ Blye ♪ Yet. That... Done. Put it up. To my employer. Order! I-O-S. Fi. Month September ♪ Past ♪ ♪ Technical tips ♪,"== sync, corrected by elderman == @elder_man",2,RT @user: I'm here. Game. Faili Rider To a store. ♪ Google ♪ ♪ Blye ♪ Yet. That... Done. Put it up. To my employer. Order! I-O-S. Fi. Month September ♪ Past ♪ ♪ Technical tips ♪,"== sync, corrected by elderman == @elder_man"
نقول للرئيس التركي ... #اردوغان_الزم_حدودك#العبادي_يمثل_العراق....,train,"We say... The President. Turkish ... Erdoğan, stick to your boundaries... my slave is like Iraq...",We tell the Turkish president...,0,"We say... The President. Turkish ... Erdoğan, stick to your boundaries... my slave is like Iraq...",We tell the Turkish president...
@user وش افضل سماعة سبيكر بلوتوث في امازون؟,train,@user Shh. Better. A headphone. Specker. Bluetooth. Fi. Amazon?,@user What's the best Spicer Bluetooth hearing aid in Amazon? ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪,1,@user Shh. Better. A headphone. Specker. Bluetooth. Fi. Amazon?,@user What's the best Spicer Bluetooth hearing aid in Amazon? ♪
RT @user: أبل تفوز على سامسونج.. كيف؟! http,train,RT @user: Apple. You win. On... Samsung... How? http,RT @user: Apple wins Samsung. How?,2,RT @user: Apple. You win. On... Samsung... How? http,RT @user: Apple wins Samsung. How?
سيسى 😠😠  خلاااص هاتركع المرة ادى  #مصر_لن_تركع,train,Cece. ¶ Pervs. Here you go. Run. Eddie. Egypt won't kneel.,"Cece, let's kneel, let's go! - Egypt won't kneel! - Come on, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go!",0,Cece. ¶ Pervs. Here you go. Run. Eddie. Egypt won't kneel.,"Cece, let's kneel, let's go! - Egypt won't kneel! - Come on, let's go!"
